step,exact,kimi,srd,srd_f
295,4.73298,4.73469,4.7836,4.7869
296,4.80016,4.79179,4.8371,4.83135
297,4.78226,4.76738,4.81537,4.81098
298,4.76945,4.75274,4.80251,4.80343
299,4.77762,4.76199,4.82169,4.81964
300,4.7602,4.75022,4.79868,4.81376
301,4.77067,4.77345,4.80288,4.80938
302,4.77204,4.77099,4.82443,4.81081
303,4.80527,4.79207,4.82729,4.83521
304,4.81826,4.80574,4.86342,4.86448
305,4.79418,4.7908,4.83174,4.83264
306,4.76946,4.76152,4.81036,4.80644
307,4.85144,4.81822,4.85665,4.85692
308,4.85425,4.8401,4.86502,4.90311
309,4.82721,4.81444,4.84639,4.84593
310,4.79327,4.79294,4.84285,4.8307
311,4.83515,4.81167,4.84816,4.85612
312,4.80567,4.79008,4.83168,4.82858
313,4.77426,4.77097,4.81723,4.82353
314,4.84836,4.83228,4.86408,4.86623
315,4.8052,4.7959,4.82678,4.82397
316,4.79608,4.79295,4.87368,4.832
317,4.81057,4.80317,4.83769,4.83808
318,4.78705,4.77653,4.8185,4.82897
319,4.82108,4.81784,4.84579,4.85071
320,4.77909,4.78267,4.82114,4.82667
321,4.77728,4.77824,4.81125,4.83774
322,4.80445,4.79651,4.8288,4.836
323,4.79715,4.78283,4.82158,4.82354
324,4.77167,4.76153,4.80822,4.80839
325,4.79428,4.77695,4.82187,4.83428
326,4.75622,4.74925,4.79465,4.80442
327,4.77774,4.76761,4.80619,4.80862
328,4.80059,4.78943,4.8288,4.82697
329,4.79075,4.78726,4.82621,4.81624
330,4.75973,4.75628,4.78918,4.7981
331,4.78064,4.77512,4.82163,4.80757
332,4.7703,4.77104,4.80662,4.81587
333,4.77373,4.77169,4.81846,4.81898
334,4.80699,4.81557,4.85136,4.84666
335,4.80932,4.81352,4.85105,4.83992
336,4.7853,4.78944,4.83151,4.86209
337,4.78136,4.77673,4.81742,4.81774
338,4.7624,4.76248,4.79872,4.81967
339,4.77742,4.78484,4.82163,4.82801
340,4.75671,4.7576,4.79011,4.81199
341,4.7735,4.77606,4.80548,4.82262
342,4.78587,4.77737,4.81675,4.81916
343,4.76208,4.75402,4.80229,4.79415
344,4.75754,4.75162,4.79946,4.80061
345,4.78697,4.79335,4.81218,4.81717
346,4.75786,4.76931,4.80375,4.80103
347,4.76304,4.76033,4.79772,4.79994
348,4.78756,4.79577,4.81856,4.84643
349,4.75096,4.74254,4.79459,4.79242
350,4.73822,4.7483,4.77527,4.78123
351,4.76735,4.76513,4.80586,4.80609
352,4.7816,4.77489,4.82429,4.82499
353,4.75444,4.75562,4.79759,4.79081
354,4.79602,4.7926,4.8271,4.82235
355,4.77052,4.76211,4.80562,4.80663
356,4.77045,4.76781,4.80914,4.81047
357,4.79021,4.77314,4.8227,4.8265
358,4.78665,4.77349,4.83113,4.83581
359,4.80981,4.79811,4.84856,4.84289
360,4.78171,4.76999,4.80607,4.8054
361,4.7948,4.78092,4.81999,4.81895
362,4.77317,4.76722,4.80626,4.81386
363,4.75173,4.74717,4.79125,4.79212
364,4.76237,4.76219,4.80977,4.81017
365,4.7735,4.76521,4.80657,4.80092
366,4.78085,4.76921,4.80917,4.80674
367,4.756,4.7519,4.7987,4.79716
368,4.72105,4.71304,4.76661,4.76259
369,4.75444,4.74624,4.78677,4.78414
370,4.79983,4.80183,4.85501,4.84589
371,4.75498,4.75455,4.79598,4.79546
372,4.7968,4.7943,4.83228,4.82718
373,4.7861,4.78101,4.81993,4.82026
