step,exact,kimi,srd,srd_f,srd_gate,srdf_gate
204,4.96033,4.74362,4.92189,4.9834,0.639334,0.640225
205,4.87982,4.74518,4.89314,4.8494,0.631718,0.630075
206,4.59106,4.4441,4.60056,4.59258,0.625162,0.621725
207,4.94994,4.86709,4.99043,4.94786,0.627219,0.622861
208,4.65931,4.51747,4.72037,4.6601,0.621176,0.618849
209,4.97427,4.8453,4.93488,4.97871,0.629466,0.634869
210,4.48688,4.31933,4.3604,4.42481,0.618482,0.627786
211,4.40144,4.33727,4.36733,4.43073,0.609792,0.623745
212,5.1379,5.03611,5.17242,5.23514,0.633355,0.617242
213,4.7432,4.62157,4.71475,4.74727,0.623572,0.631642
214,4.78538,4.65149,4.79558,4.81507,0.618209,0.649926
215,4.77072,4.61578,4.81715,4.8271,0.625263,0.647673
216,4.65771,4.49563,4.70219,4.69685,0.623058,0.646935
217,4.82645,4.72498,4.89959,4.87534,0.619975,0.62856
218,4.84205,4.69001,4.83325,4.88521,0.623273,0.632413
219,5.22603,5.0319,5.17538,5.17211,0.625809,0.635433
220,4.74463,4.58523,4.76287,4.74672,0.632488,0.641397
221,4.83897,4.72729,4.83623,4.87085,0.614817,0.633201
222,4.61072,4.40036,4.57268,4.58586,0.624393,0.628277
223,4.68303,4.52732,4.69526,4.68988,0.613692,0.634524
224,3.86865,3.72252,3.90143,3.8645,0.601445,0.619657
225,5.10371,4.97787,5.07514,5.15368,0.609112,0.617202
226,5.05479,4.86203,5.04063,5.04451,0.628251,0.634402
227,4.28827,4.15262,4.24897,4.31463,0.611787,0.621487
228,4.78235,4.59977,4.73573,4.7944,0.62738,0.624342
229,4.75165,4.57629,4.69628,4.75993,0.61274,0.618385
230,5.30112,5.21107,5.31764,5.265,0.614373,0.619022
231,4.77228,4.62709,4.78701,4.77688,0.611734,0.611852
232,4.99856,4.87112,4.92948,4.99465,0.626157,0.61487
233,4.82695,4.65156,4.81239,4.8369,0.629036,0.628095
234,4.83392,4.68995,4.8274,4.857,0.618589,0.619194
235,4.97926,4.85776,4.98459,4.95041,0.625211,0.623067
236,4.87574,4.74127,4.83049,4.86135,0.6123,0.616789
237,4.98071,4.74743,4.86234,4.87418,0.618586,0.611807
238,5.15727,5.00969,5.11955,5.15672,0.621526,0.611016
239,4.82086,4.70576,4.78398,4.81991,0.611997,0.599768
240,5.1279,4.94889,5.11096,5.15668,0.62309,0.602203
241,4.70745,4.50417,4.66554,4.70355,0.623944,0.613043
242,4.70551,4.46802,4.55239,4.63453,0.609162,0.595692
243,4.15442,3.97693,4.13659,4.2762,0.601481,0.605921
244,5.09029,4.97317,5.02298,5.05709,0.606934,0.605037
245,4.91224,4.77531,4.8559,4.86502,0.61476,0.615654
246,4.61734,4.39202,4.58795,4.54358,0.621642,0.63127
247,5.18167,5.10756,5.22024,5.26982,0.616016,0.61987
248,5.04749,4.94967,5.04095,5.10597,0.606593,0.621776
249,4.77796,4.65119,4.76129,4.77339,0.622246,0.612179
250,4.94704,4.71461,4.95335,4.95009,0.615788,0.614327
251,4.81697,4.62159,4.81657,4.83266,0.604413,0.605133
252,4.54876,4.34216,4.47335,4.59528,0.597936,0.607124
253,4.115,4.07624,4.16374,4.12357,0.587975,0.591963
254,5.15594,4.96224,5.06822,5.11528,0.608431,0.609589
255,4.95375,4.74951,4.92138,4.92897,0.597826,0.611644
256,4.25507,4.0764,4.21007,4.35921,0.609392,0.622046
257,4.89056,4.7142,4.82326,4.89024,0.60709,0.611859
258,4.03346,3.93103,3.98359,4.00509,0.576984,0.579659
259,4.89195,4.76593,4.84486,4.89991,0.604901,0.607499
260,4.74566,4.64163,4.7085,4.79746,0.612933,0.606022
261,4.76417,4.61567,4.70358,4.75721,0.599543,0.611955
262,4.29392,4.18859,4.26004,4.2637,0.597552,0.589371
263,5.06815,4.88282,4.95777,5.02412,0.611688,0.607118
264,4.18827,4.03049,4.10731,4.18041,0.597473,0.602228
265,4.56305,4.32281,4.49288,4.578,0.618102,0.61868
266,4.54226,4.39783,4.51246,4.49783,0.599736,0.603935
267,4.87859,4.76227,4.83955,4.90469,0.597734,0.603834
268,4.89516,4.69621,4.7955,4.95204,0.610431,0.611981
269,5.04481,4.8879,4.97909,5.04406,0.607472,0.624707
270,4.95647,4.80266,4.90098,5.03432,0.596739,0.633405
271,5.00295,4.86424,4.94295,5.02662,0.599033,0.62734
272,4.81237,4.6677,4.78905,4.78763,0.607389,0.609837
273,4.59195,4.45678,4.58854,4.60106,0.611478,0.624513
274,4.49084,4.31627,4.50721,4.48157,0.602169,0.638345
275,4.95698,4.85126,4.98951,4.97375,0.602058,0.649609
276,5.03136,4.89468,5.10186,4.98755,0.604732,0.6567
277,4.72195,4.53183,4.73001,4.75225,0.603263,0.664703
278,4.8576,4.63619,4.76884,4.84078,0.596388,0.658667
279,5.13547,5.04446,5.08737,5.23022,0.588192,0.648785
280,4.64207,4.51658,4.64305,4.66812,0.601383,0.637827
281,4.98001,4.91819,5.04786,5.02277,0.598937,0.628475
282,4.35184,4.20678,4.36478,4.39792,0.591746,0.617321
283,4.77496,4.64245,4.78332,4.81816,0.610221,0.613353
284,4.60472,4.41817,4.49644,4.54917,0.60276,0.612337
285,4.62934,4.46726,4.61089,4.6291,0.592022,0.603694
286,5.27293,5.15823,5.16167,5.23033,0.610985,0.611479
287,5.04082,4.86738,5.004,4.9832,0.593275,0.598346
288,4.70873,4.49519,4.64147,4.66368,0.613095,0.613913
289,4.85091,4.66604,4.85189,4.85666,0.596905,0.600342
290,5.17822,5.08493,5.12902,5.14943,0.594584,0.595672
291,5.06903,4.9756,5.04284,5.03788,0.589723,0.595824
292,4.89719,4.74775,4.92437,4.91882,0.60366,0.593033
293,4.98086,4.89032,4.96842,5.01025,0.594237,0.606379
294,5.07577,4.91663,5.13456,5.10301,0.600871,0.603219
295,5.25049,5.10238,5.14188,5.08503,0.595412,0.595426
296,5.03665,4.95343,5.06124,5.0127,0.606528,0.601629
297,4.5137,4.41042,4.49092,4.58518,0.592202,0.590891
298,4.73912,4.66612,4.79654,4.78191,0.599046,0.596216
299,4.5811,4.36377,4.50232,4.51317,0.584542,0.581988
300,4.52165,4.3495,4.46126,4.48259,0.594881,0.585857
