step,exact,kimi,srd,srd_f
227,4.78945,4.71529,4.79152,4.80877
228,4.81228,4.72664,4.82109,4.81968
229,4.86648,4.78525,4.85469,4.86122
230,4.8593,4.77348,4.8574,4.86149
231,4.84867,4.76179,4.83732,4.86013
232,4.87991,4.79414,4.86377,4.90395
233,4.83648,4.71522,4.80659,4.81179
234,4.86588,4.7914,4.85759,4.8633
235,4.88907,4.78757,4.84114,4.85799
236,4.82942,4.76539,4.83152,4.85018
237,4.79552,4.70111,4.79895,4.79136
238,4.78991,4.70112,4.78493,4.78113
239,4.85206,4.76408,4.83638,4.84768
240,4.81877,4.73095,4.82566,4.84874
241,4.82239,4.74334,4.81758,4.83988
242,4.8091,4.72928,4.81176,4.81003
243,4.80053,4.72087,4.80333,4.79566
244,4.82147,4.75873,4.82118,4.8618
245,4.8183,4.72275,4.8231,4.84596
246,4.81721,4.73294,4.82408,4.82324
247,4.84353,4.76362,4.84534,4.84147
248,4.81535,4.66763,4.77184,4.7676
249,4.79295,4.69956,4.79263,4.82516
250,4.83444,4.75177,4.83681,4.83808
251,4.80133,4.70937,4.83395,4.80404
252,4.86598,4.76167,4.86739,4.86121
253,4.80051,4.70731,4.79354,4.81604
254,4.89659,4.76469,4.8465,4.8482
255,4.85127,4.75908,4.83711,4.84218
256,4.80312,4.73288,4.81123,4.81741
257,4.84783,4.72688,4.81522,4.80179
258,4.81737,4.73966,4.8188,4.85747
259,4.86607,4.75165,4.82633,4.86225
260,4.84311,4.77354,4.84751,4.84273
261,4.86918,4.76853,4.83634,4.86478
262,4.82702,4.75845,4.83175,4.83734
263,4.8188,4.73585,4.8137,4.82749
264,4.81486,4.7226,4.81791,4.81984
265,4.84327,4.77578,4.84209,4.83704
266,4.82423,4.74393,4.82732,4.81827
267,4.79776,4.70922,4.79622,4.80503
268,4.81739,4.72729,4.81177,4.80912
269,4.80813,4.73558,4.84547,4.80757
270,4.79415,4.705,4.8046,4.79347
271,4.78303,4.69656,4.78532,4.77911
272,4.83529,4.75823,4.84137,4.83787
273,4.8312,4.73442,4.82574,4.82544
274,4.80857,4.72185,4.80593,4.79798
275,4.78305,4.69201,4.78657,4.80822
276,4.81154,4.73085,4.81839,4.80973
277,4.80856,4.7267,4.82533,4.81589
278,4.81558,4.73342,4.81293,4.83969
279,4.77006,4.68805,4.84128,4.77849
280,4.82749,4.74926,4.83986,4.84248
281,4.82057,4.72392,4.82351,4.82137
282,4.8111,4.72523,4.80559,4.81572
283,4.8368,4.75799,4.88254,4.84352
284,4.80953,4.73397,4.84419,4.81876
285,4.83858,4.70677,4.79097,4.79806
