step,exact,kimi,srd,srd_f
224,4.7119,4.71055,4.71282,4.7343
225,4.6782,4.67339,4.6776,4.67942
226,4.69493,4.69458,4.69559,4.69659
227,4.71755,4.71227,4.7132,4.71417
228,4.70588,4.69779,4.70418,4.71589
229,4.70732,4.70575,4.71009,4.71753
230,4.70192,4.70067,4.6999,4.70447
231,4.6863,4.68456,4.68714,4.69268
232,4.7268,4.72156,4.72427,4.73129
233,4.69394,4.69044,4.6934,4.69419
234,4.70521,4.69772,4.70426,4.71798
235,4.67396,4.67108,4.67072,4.67846
236,4.69586,4.68848,4.69346,4.70292
237,4.71495,4.71361,4.71396,4.71764
238,4.69419,4.69249,4.69487,4.69932
239,4.7053,4.70145,4.70722,4.70747
240,4.70475,4.70394,4.70414,4.70627
241,4.69526,4.69409,4.69642,4.69863
242,4.71439,4.71258,4.71087,4.71095
243,4.69071,4.68889,4.68978,4.69501
244,4.69582,4.69271,4.69536,4.69299
245,4.71384,4.70914,4.70996,4.72868
246,4.73041,4.73182,4.72927,4.72789
247,4.6772,4.67893,4.67831,4.68208
248,4.66783,4.66403,4.66829,4.67396
249,4.70336,4.69889,4.70263,4.70707
250,4.71115,4.70236,4.7033,4.70379
251,4.68721,4.68439,4.68838,4.68922
252,4.68445,4.68389,4.6853,4.68675
253,4.70937,4.70868,4.71232,4.71276
254,4.70636,4.69927,4.70193,4.7043
255,4.70144,4.695,4.6983,4.70632
256,4.71345,4.7,4.69824,4.69886
257,4.70208,4.69816,4.70173,4.70706
258,4.70432,4.70093,4.70325,4.70675
259,4.70083,4.69545,4.69581,4.69838
260,4.68724,4.68365,4.68493,4.69107
261,4.72307,4.7216,4.71945,4.72497
262,4.69159,4.68667,4.68716,4.69253
263,4.69399,4.69404,4.69418,4.70014
264,4.67796,4.67254,4.67661,4.6895
265,4.69777,4.69719,4.69479,4.69867
266,4.69704,4.69687,4.69451,4.69823
267,4.68903,4.68471,4.68439,4.69477
268,4.71162,4.70553,4.7074,4.71134
269,4.70235,4.70331,4.70608,4.70641
270,4.69535,4.69464,4.69648,4.69906
271,4.70777,4.70177,4.70374,4.70488
272,4.70059,4.69761,4.70058,4.70179
273,4.69871,4.69494,4.69825,4.70165
274,4.70058,4.69898,4.69888,4.70262
275,4.69975,4.69569,4.69607,4.69744
276,4.7065,4.69894,4.70406,4.70786
277,4.71425,4.70972,4.71199,4.71609
278,4.721,4.70629,4.70718,4.70746
279,4.68449,4.68449,4.68521,4.68459
280,4.7109,4.71076,4.71387,4.71793
281,4.69576,4.69461,4.69437,4.69498
282,4.69406,4.69232,4.69248,4.69557
283,4.7043,4.70603,4.70464,4.71055
284,4.70581,4.70424,4.70726,4.70829
285,4.70478,4.69423,4.69714,4.70229
286,4.70362,4.69564,4.69385,4.6981
287,4.68627,4.68442,4.68861,4.69127
288,4.70537,4.7046,4.70023,4.70574
289,4.69376,4.68928,4.69329,4.69435
290,4.70371,4.70326,4.70484,4.70699
291,4.68863,4.68629,4.68647,4.68526
292,4.69416,4.69496,4.69256,4.69572
293,4.69801,4.69468,4.69652,4.69987
294,4.69195,4.68981,4.69315,4.69627
295,4.69176,4.68853,4.69153,4.69631
296,4.68989,4.68494,4.68173,4.68311
297,4.69785,4.69768,4.70084,4.70072
298,4.69006,4.69321,4.69096,4.69286
299,4.70413,4.7015,4.70432,4.7062
300,4.70655,4.70439,4.70829,4.70947
301,4.7117,4.71014,4.71111,4.71166
302,4.70986,4.69501,4.6957,4.70055
303,4.70141,4.69947,4.70111,4.70481
304,4.699,4.69436,4.6959,4.69935
305,4.69433,4.69139,4.69178,4.69528
306,4.69389,4.69088,4.68849,4.69062
307,4.6952,4.69179,4.69724,4.69733
308,4.67477,4.6735,4.67158,4.67624
309,4.71849,4.70035,4.70014,4.70413
310,4.67505,4.67374,4.67449,4.6762
311,4.70942,4.70033,4.70577,4.70937
312,4.68484,4.68194,4.68347,4.68752
313,4.71881,4.70294,4.70463,4.70711
314,4.69773,4.69481,4.69353,4.69563
315,4.70945,4.69032,4.69011,4.69194
316,4.68525,4.68058,4.69545,4.68447
317,4.70804,4.70372,4.70512,4.70952
318,4.70946,4.69745,4.6979,4.6997
319,4.7051,4.69338,4.6961,4.69517
320,4.67965,4.6796,4.68301,4.6794
321,4.71489,4.71248,4.71705,4.71851
322,4.68953,4.68632,4.68768,4.69296
323,4.7062,4.70023,4.69934,4.70091
324,4.70184,4.69753,4.70048,4.70134
325,4.68237,4.68242,4.68246,4.68307
326,4.71046,4.69539,4.69664,4.69775
327,4.69318,4.69214,4.69252,4.69194
328,4.73389,4.70148,4.70398,4.70827
329,4.70995,4.68911,4.69329,4.69407
330,4.70207,4.69009,4.68921,4.69319
331,4.68028,4.67903,4.67925,4.68099
332,4.7147,4.69652,4.69605,4.70084
333,4.70177,4.69984,4.70167,4.70381
334,4.70037,4.6972,4.69504,4.70046
335,4.69831,4.69807,4.69841,4.70172
336,4.71056,4.70856,4.70805,4.71025
337,4.69854,4.69546,4.6959,4.69697
338,4.69056,4.6917,4.69178,4.69214
339,4.69124,4.68323,4.70013,4.68276
340,4.68779,4.68834,4.68579,4.68942
341,4.71391,4.70524,4.70767,4.70822
342,4.7037,4.69747,4.69861,4.70189
343,4.69291,4.69173,4.69263,4.6931
344,4.71032,4.7053,4.70784,4.71005
345,4.69599,4.68996,4.69107,4.6924
346,4.6929,4.68858,4.69046,4.6912
347,4.69257,4.68992,4.69056,4.69007
348,4.69718,4.69469,4.69642,4.69907
349,4.68962,4.68307,4.68821,4.68975
350,4.72177,4.71732,4.7173,4.72078
351,4.70027,4.69501,4.69551,4.70379
352,4.69601,4.69103,4.69105,4.69344
353,4.70195,4.70189,4.70408,4.7109
354,4.69301,4.69497,4.69501,4.69648
355,4.70407,4.70185,4.70314,4.70587
356,4.68389,4.68369,4.69353,4.68392
357,4.70422,4.70417,4.70549,4.70629
358,4.70427,4.70474,4.70639,4.70618
359,4.69594,4.6946,4.69434,4.69466
360,4.70146,4.70093,4.70092,4.70205
361,4.6898,4.6875,4.68867,4.68843
362,4.69419,4.69363,4.69202,4.69568
363,4.67738,4.67524,4.67781,4.67935
364,4.69678,4.69577,4.69836,4.70021
365,4.7014,4.69797,4.70008,4.70184
366,4.68128,4.67995,4.68277,4.68409
367,4.70386,4.70025,4.70322,4.70363
368,4.6941,4.68686,4.68946,4.68962
369,4.70146,4.69862,4.70144,4.70164
370,4.67993,4.67758,4.67968,4.68296
371,4.69464,4.6922,4.69375,4.69629
372,4.68782,4.68571,4.68893,4.68922
373,4.6938,4.6912,4.69234,4.69258
374,4.70671,4.7073,4.70848,4.7096
375,4.70662,4.70626,4.70714,4.7079
376,4.70196,4.69015,4.69069,4.69272
377,4.66808,4.66758,4.66902,4.66918
378,4.70687,4.70553,4.70432,4.7048
379,4.68781,4.68415,4.68607,4.68465
380,4.70331,4.70161,4.70308,4.70403
381,4.68786,4.68831,4.69096,4.68971
382,4.6767,4.67547,4.67815,4.67889
383,4.70178,4.69692,4.69803,4.69928
384,4.69413,4.69465,4.69442,4.69511
385,4.67832,4.67738,4.67881,4.67869
386,4.7095,4.70589,4.70564,4.70837
387,4.67616,4.67626,4.67621,4.68036
388,4.6982,4.69522,4.69664,4.69902
389,4.69352,4.69306,4.69256,4.69461
390,4.70588,4.70483,4.70628,4.70779
391,4.71342,4.71137,4.71184,4.71484
392,4.69678,4.69687,4.6986,4.69999
393,4.70173,4.70063,4.70176,4.70375
394,4.6823,4.67913,4.67919,4.68082
395,4.68825,4.6874,4.68681,4.6907
396,4.6828,4.68023,4.68137,4.68268
397,4.68902,4.68857,4.68932,4.69035
398,4.69075,4.68696,4.6873,4.69022
399,4.6836,4.68214,4.68398,4.68615
400,4.68284,4.68446,4.68534,4.68615
