step,exact,kimi,srd,srd_f
241,4.49775,4.49761,4.49942,4.49675
242,4.48292,4.46612,4.46457,4.46618
243,4.49473,4.4857,4.48579,4.48622
244,4.48575,4.48443,4.48255,4.48526
245,4.48962,4.48608,4.4893,4.48786
246,4.4775,4.47608,4.47749,4.47794
247,4.50999,4.53836,4.50392,4.50928
248,4.48579,4.48757,4.48653,4.48828
249,4.47614,4.47557,4.47516,4.47497
250,4.48755,4.48646,4.48669,4.48736
251,4.49666,4.4991,4.49573,4.49627
252,4.48812,4.52932,4.49026,4.4901
253,4.48018,4.48267,4.4814,4.48322
254,4.51018,4.50956,4.51099,4.51011
255,4.4758,4.47485,4.47531,4.4758
256,4.5143,4.51092,4.51286,4.51372
257,4.49002,4.48977,4.49175,4.48838
258,4.48983,4.48717,4.48897,4.48968
259,4.50121,4.49856,4.50184,4.49855
260,4.50557,4.50579,4.50563,4.50417
261,4.48811,4.48744,4.4864,4.4896
262,4.47466,4.47023,4.47102,4.47258
263,4.50801,4.50499,4.50563,4.50519
264,4.47428,4.47783,4.47299,4.47391
265,4.48547,4.48596,4.4843,4.48579
266,4.46901,4.47036,4.46678,4.46859
267,4.49801,4.49795,4.50011,4.49972
268,4.4772,4.47881,4.47566,4.4769
269,4.49591,4.49546,4.49588,4.49485
270,4.4878,4.52202,4.48743,4.48652
271,4.50238,4.50086,4.50708,4.50144
272,4.49268,4.5088,4.49047,4.49357
273,4.48631,4.4875,4.48417,4.48422
274,4.49924,4.50145,4.5008,4.50109
275,4.49629,4.49013,4.49426,4.49028
276,4.49934,4.49516,4.50003,4.49847
277,4.49578,4.49165,4.49652,4.49293
278,4.49637,4.49819,4.49607,4.49647
279,4.46232,4.46107,4.46091,4.45961
280,4.50865,4.50423,4.50835,4.51039
281,4.47959,4.47873,4.48002,4.47812
282,4.49291,4.48825,4.49151,4.49478
283,4.45927,4.45873,4.4589,4.45948
284,4.4781,4.48136,4.47858,4.47836
285,4.46667,4.46747,4.46568,4.46836
286,4.48466,4.48337,4.48411,4.48594
287,4.50581,4.51157,4.48646,4.48737
288,4.49487,4.49455,4.49535,4.49604
289,4.47334,4.49949,4.47313,4.47394
290,4.47619,4.46566,4.46064,4.46153
291,4.46478,4.48836,4.46241,4.46264
292,4.47996,4.4782,4.47994,4.47936
293,4.53022,4.53095,4.52915,4.52851
294,4.51984,4.47809,4.47581,4.47539
295,4.4627,4.46071,4.46347,4.46537
296,4.47926,4.47776,4.47692,4.4769
297,4.48795,4.48982,4.48906,4.48873
298,4.49843,4.49532,4.49544,4.49724
299,4.48857,4.49084,4.48908,4.49201
300,4.49757,4.49978,4.49354,4.49644
301,4.50719,4.50499,4.50826,4.50752
302,4.47766,4.48031,4.47882,4.47682
303,4.50427,4.505,4.50643,4.50896
304,4.4902,4.49211,4.48798,4.49256
305,4.49256,4.57792,4.49254,4.49352
306,4.4948,4.492,4.48872,4.49133
307,4.48377,4.48119,4.48328,4.48774
308,4.48523,4.47986,4.48336,4.48343
309,4.49002,4.4913,4.4933,4.49013
310,4.47196,4.46946,4.47636,4.47236
311,4.51483,4.51181,4.51518,4.51539
312,4.48502,4.50705,4.48552,4.48637
313,4.48886,4.48794,4.4894,4.48925
314,4.4865,4.50157,4.48577,4.48527
315,4.50119,4.50158,4.50074,4.50202
316,4.48181,4.47656,4.47994,4.48309
317,4.48627,4.48588,4.48255,4.48696
318,4.47406,4.47964,4.47832,4.47351
319,4.47966,4.47574,4.47783,4.47704
320,4.48872,4.48711,4.48377,4.48642
321,4.4897,4.48886,4.48854,4.48785
322,4.49321,4.49273,4.49172,4.52322
323,4.49671,4.49896,4.50058,4.49709
324,4.48293,4.50416,4.48889,4.48565
325,4.47096,4.46802,4.47526,4.46847
326,4.5099,4.47962,4.47925,4.48022
327,4.48177,4.48122,4.483,4.48236
328,4.48925,4.48863,4.48938,4.49155
329,4.47196,4.47194,4.47156,4.47229
330,4.49784,4.5024,4.50001,4.49937
331,4.49653,4.50128,4.50022,4.51862
332,4.47651,4.47861,4.4769,4.48041
333,4.47002,4.47241,4.47254,4.46915
334,4.44341,4.45929,4.44394,4.4451
335,4.47848,4.47776,4.48052,4.4791
336,4.46799,4.47251,4.46857,4.46794
337,4.5127,4.51159,4.5119,4.51609
338,4.48908,4.48675,4.49059,4.48916
339,4.48748,4.48542,4.48625,4.49033
340,4.47747,4.47861,4.47541,4.47809
341,4.48573,4.48446,4.48477,4.48622
342,4.48746,4.48643,4.4866,4.50015
343,4.48015,4.47971,4.49471,4.47895
344,4.49939,4.49674,4.49879,4.50087
345,4.47394,4.47482,4.47955,4.4743
346,4.49649,4.49772,4.49408,4.49407
347,4.46711,4.46823,4.46851,4.46503
348,4.46615,4.46376,4.46079,4.46474
349,4.48105,4.47576,4.48481,4.4813
350,4.48602,4.48831,4.49548,4.48615
351,4.47857,4.48195,4.47291,4.49521
352,4.48419,4.48211,4.48452,4.49888
353,4.47393,4.47203,4.47848,4.47625
354,4.46158,4.46272,4.46183,4.46246
355,4.45659,4.45724,4.45978,4.45828
356,4.51323,4.51622,4.51415,4.5161
357,4.50193,4.50134,4.50408,4.50294
358,4.50543,4.50477,4.50486,4.50908
359,4.48069,4.48181,4.48331,4.47894
360,4.49162,4.49005,4.49199,4.49531
361,4.47613,4.47716,4.47799,4.47701
362,4.4794,4.47985,4.4801,4.48319
363,4.47434,4.47513,4.47193,4.47199
364,4.48157,4.48494,4.48356,4.48227
365,4.48449,4.48322,4.48671,4.48625
366,4.47629,4.48998,4.4766,4.47455
367,4.46654,4.469,4.47124,4.47031
368,4.49905,4.49732,4.49652,4.4967
369,4.47717,4.47778,4.4745,4.47579
370,4.50223,4.5053,4.50581,4.50076
371,4.4723,4.50199,4.47464,4.47352
372,4.47847,4.49867,4.47829,4.47629
373,4.48145,4.48023,4.48276,4.48435
374,4.49597,4.49683,4.49518,4.49402
375,4.48167,4.47818,4.47971,4.47923
376,4.47539,4.47843,4.47321,4.48854
377,4.48816,4.48855,4.48921,4.48602
378,4.48608,4.48273,4.48377,4.48205
379,4.45685,4.45505,4.45267,4.45272
380,4.48685,4.48735,4.48567,4.48649
381,4.47073,4.46928,4.4732,4.47215
382,4.47159,4.47192,4.47015,4.47591
383,4.4894,4.48874,4.49019,4.49139
384,4.49362,4.49132,4.4961,4.49519
385,4.48324,4.4815,4.48662,4.48921
386,4.4876,4.48568,4.48954,4.48605
387,4.46232,4.46441,4.46362,4.48912
388,4.46425,4.46393,4.46414,4.48709
389,4.48468,4.48894,4.48643,4.48395
